t;x;y;v;
0.000;-1.473E-2;0.288;
0.033;-1.473E-2;0.288;3.650E-2
0.067;-1.239E-2;0.287;0.124
0.100;-6.912E-3;0.285;0.143
0.133;-3.203E-3;0.285;0.143
0.167;2.516E-3;0.284;0.175
0.200;8.383E-3;0.283;0.199
0.233;1.565E-2;0.282;0.236
0.267;2.388E-2;0.281;0.270
0.300;3.328E-2;0.279;0.282
0.333;4.198E-2;0.276;0.327
0.367;5.442E-2;0.273;0.404
0.400;6.839E-2;0.270;0.450
0.433;8.382E-2;0.267;0.500
0.467;0.101;0.264;0.556
0.500;0.120;0.258;0.627
0.533;0.141;0.253;0.727
0.567;0.167;0.247;0.811
0.600;0.193;0.237;0.833
0.633;0.219;0.227;0.884
0.667;0.247;0.213;1.002
0.700;0.279;0.198;1.102
0.733;0.315;0.184;1.197
0.767;0.354;0.171;1.272
0.800;0.396;0.160;1.312
0.833;0.440;0.158;1.352
0.867;0.486;0.156;1.327
0.900;0.529;0.163;1.290
0.933;0.570;0.172;1.239
0.967;0.608;0.186;1.186
1.000;0.644;0.200;1.111
1.033;0.677;0.212;1.021
1.067;0.709;0.220;0.973
1.100;0.740;0.228;0.937
1.133;0.771;0.230;0.898
1.167;0.800;0.233;0.879
1.200;0.829;0.230;0.908
1.233;0.860;0.226;0.920
1.267;0.891;0.228;0.970
1.300;0.924;0.219;1.027
1.333;0.957;0.209;1.073
1.367;0.992;0.197;1.162
1.400;1.030;0.184;1.223
1.433;1.070;0.173;1.306
1.467;1.114;0.161;1.366
1.500;1.159;0.153;1.412
1.533;1.208;0.152;1.417
1.567;1.254;0.159;1.388
1.600;1.299;0.165;1.325
1.633;1.341;0.174;1.342
1.667;1.388;0.172;
