t;x;y;v;
0.000;-9.108E-3;0.287;
0.033;-7.181E-3;0.287;7.560E-2
0.067;-4.070E-3;0.287;0.105
0.100;-2.058E-4;0.286;0.144
0.133;5.442E-3;0.285;0.177
0.167;1.149E-2;0.284;0.206
0.200;1.900E-2;0.283;0.236
0.233;2.716E-2;0.283;0.276
0.267;3.729E-2;0.281;0.337
0.300;4.927E-2;0.279;0.386
0.333;6.251E-2;0.276;0.428
0.367;7.724E-2;0.273;0.467
0.400;9.299E-2;0.269;0.514
0.433;0.110;0.265;0.572
0.467;0.130;0.260;0.637
0.500;0.151;0.251;0.704
0.533;0.174;0.243;0.790
0.567;0.201;0.236;0.874
0.600;0.228;0.222;0.922
0.633;0.257;0.210;1.009
0.667;0.290;0.196;1.144
0.700;0.327;0.180;1.231
0.733;0.367;0.168;1.294
0.767;0.410;0.157;1.324
0.800;0.454;0.153;1.337
0.833;0.499;0.156;1.336
0.867;0.543;0.164;1.286
0.900;0.582;0.177;1.224
0.933;0.620;0.189;1.157
0.967;0.656;0.199;1.078
1.000;0.689;0.209;1.024
1.033;0.722;0.218;0.977
1.067;0.753;0.223;0.927
1.100;0.783;0.227;0.908
1.133;0.813;0.229;0.901
1.167;0.843;0.227;0.904
1.200;0.873;0.224;0.937
1.233;0.905;0.218;0.986
1.267;0.938;0.211;1.040
1.300;0.972;0.201;1.093
1.333;1.007;0.190;1.167
1.367;1.045;0.175;1.261
1.400;1.087;0.161;1.336
1.433;1.131;0.151;1.391
1.467;1.178;0.146;1.425
1.500;1.226;0.148;1.413
1.533;1.272;0.153;1.381
1.567;1.317;0.159;1.360
1.600;1.362;0.166;
